Name ,Country ,City ,Rooms,Floors
Gothia Towers , Sweden ,Gothenburg ,"1,200[28] ","23 (tower 1), 25 (tower 2), 29 (tower 3)"
Chicago Marriott Downtown , United States ,Chicago ,"1,198[citation needed] ",
Westin St. Francis , United States ,San Francisco ,1195,32/12 floors (2 towers)
Hyatt Regency New Orleans , United States ,New Orleans ,"1,193[29] ",27 floors
Hilton San Diego Bayfront , United States ,San Diego ,1190,30 floors
Crown Perth ,Australia ,"Perth, Western Australia ",1188,500 room crown towers
Mohegan Sun Hotel & Casino , United States ,"Uncasville, Connecticut ",1175,36 floors
Regal Airport Hotel , Hong Kong ,Hong Kong ,"1,171[citation needed] ",
Colorado Belle , United States ,Laughlin ,"1,168[citation needed] ",
Caesars Atlantic City , United States ,Atlantic City ,"1,158[citation needed] ",
Sheraton Princess Kai'ulani , United States ,Honolulu ,"1,152[citation needed] ",2 towers
Yalta Hotel Complex , Crimea ,Yalta ,"1,140[citation needed] ",
Four Points by Sheraton Makkah , Saudi Arabia ,Mecca ,"1,136[30] ",Part of Tilal Al Naseem Mega Project
Lopesan Costa Meloneras Resort , Spain ,San Bartolomé de Tirajana ,"1,136[citation needed] ",
Gold Strike Casino Resort , United States ,Tunica Resorts ,"1,133[31] ",
Estrel Hotel , Germany ,Berlin ,1125,
Lotte Hotel Seoul , South Korea ,Seoul ,1120,38 floors
Hyatt Regency Dallas , United States ,Dallas ,1120,30 floors
Sheraton New Orleans , United States ,New Orleans ,"1,110 [32] ",48 floors
Harrah's Cherokee , United States ,Cherokee ,1108,"21 floors, 3 towers"
Sultan Hotel , Indonesia ,Jakarta ,"1,104[citation needed] ",
Hyatt Regency Denver at Colorado Convention Center , United States ,Denver ,1100,37 floors[33]
Disney's Newport Bay Club , France ,Marne-la-Vallée ,"1,098[citation needed] ",
Hyatt Regency O'Hare , United States ,"Rosemont, Illinois ","1,095 [34] ",
Cairo Marriott Hotel , Egypt ,Cairo ,1089,20 floors (two towers)
Azimut Hotel St. Petersburg , Russia ,St. Petersburg ,"1,080[citation needed] ",
Renaissance Grand , United States ,St. Louis ,"1,078[citation needed] ",23 floors (two towers)
Washington Hilton , United States ,"Washington, DC ",1070,
Omni Atlanta Hotel at CNN Center , United States ,Atlanta ,"1,070[citation needed] ",
Westin Peachtree Plaza Hotel , United States ,Atlanta ,1068,
Harrah's Resort Southern California , United States ,Valley Center ,1065,
Hilton London Metropole , United Kingdom ,London ,1059,West Wing (14 floors) / Tower Wing (23 floors) / East Wing (10 floors)
Edgewater Hotel and Casino , United States ,Laughlin ,"1,053 [35] ",
Sheraton San Diego Hotel & Marina , United States ,San Diego ,"1,053[citation needed] ",
Hilton Fukuoka Sea Hawk , Japan ,Fukuoka ,"1,052[citation needed] ",
Meritus Mandarin Singapore , Singapore ,Singapore ,1051,39 floors (two towers)
Marriott Copley Place , United States ,Boston ,1148,38 floors [36] 
Golden Nugget Lake Charles , United States ,Lake Charles ,1040,
Boca Raton Resort and Club , United States ,Boca Raton ,1038,
Plaza Hotel & Casino , United States ,Las Vegas ,1037,22/22 floors
Anaheim Marriott , United States ,Anaheim ,"1,031[citation needed] ",
Palace Station , United States ,Las Vegas ,1028,21 floors
Le Meridien Etoile , France ,Paris ,"1,025[citation needed] ",
Parc 55 – a Hilton Hotel , United States ,San Francisco ,"1,024[citation needed] ",32 floors
Grand Hyatt Incheon , South Korea ,Incheon ,"1,022[citation needed] ",
Park Plaza Westminster Bridge , United Kingdom ,London ,1021,
Roosevelt Hotel , United States ,New York ,1015,19 floors
New Yorker , United States ,New York ,1014,
JW Marriott , United States ,Austin ,1012,34 floors [37]
Park Inn Alexanderplatz , Germany ,Berlin ,"1,012[citation needed] ",41 floors
Disney's Sequoia Lodge , France ,Marne-la-Vallée ,"1,011[citation needed] ",
Los Angeles Airport Marriott , United States ,Los Angeles ,"1,011[citation needed] ",
Gloria Hotel , United Arab Emirates ,Dubai ,1010,[38]
Sheraton Frankfurt Hotel & Towers , Germany ,Frankfurt am Main ,"1,008[citation needed] ",8 floors
Mulia Hotel , Indonesia ,Jakarta ,"1,008[citation needed] ",40 floors
Hilton Niagara Falls/Fallsview , Canada ,"Niagara Falls, Ontario ","1,006[citation needed] ",
JW Marriott Indianapolis , United States ,Indianapolis ,1005,34 floors
Grand Hyatt San Antonio , United States ,San Antonio ,1003,24 floors
Shin Yokohama Prince , Japan ,Yokohama ,"1,002[citation needed] ",
JW Marriott San Antonio Hill Country Resort & Spa , United States ,San Antonio ,"1,002[39] ",
APA Hotel and Resort , Japan ,Tokyo Bay ,"1,001[citation needed] ",
Hilton Orlando Bonnet Creek Resort , United States ,Orlando ,"1,001[citation needed] ",
JW Marriott & Ritz Carlton , United States ,Los Angeles ,"1,001[40] ",
Omni Dallas Hotel , United States ,Dallas ,"1,001[41] ",
Atlantis Casino Resort , United States ,Reno ,1000,27 floors
Disney's Hotel Cheyenne , France ,Marne-la-Vallée ,"1,000[citation needed] ",
Disney's Hotel Santa Fe , France ,Marne-la-Vallée ,"1,000[citation needed] ",
Ramada Hotel and Suites Boao , China ,Hainan ,"1,000[citation needed] ",
River Palms , United States ,Laughlin ,1000,
Sheraton Phoenix Downtown , United States ,Phoenix ,1000,
Yanggakdo International Hotel , North Korea ,Pyongyang ,1000,
Marriott Marquis Houston , United States ,Houston ,1000,
Rossiya Hotel ,Russia,Moscow ,3200,21
Riviera ,United States ,Las Vegas ,2100,
Sahara Hotel and Casino ,United States ,Las Vegas ,1720,27/24/14 (3 buildings) 
Stardust Resort and Casino ,United States ,Las Vegas ,1552,32/9 floors (2 towers) 
Dunes Las Vegas ,United States ,Las Vegas ,1300,24/17 floors (2 towers) 
Hacienda Resort Las Vegas ,United States ,Las Vegas ,1200,12 floors 
Mount Royal Hotel ,Canada,Montreal,1100,12 floors 
Laurentian Hotel ,Canada,Montreal,1000,20 floors 
Abraj Kudai ,Saudi Arabia,Mecca ,10000,30–45 floors 
Mui Dinh Eco-Resort ,Vietnam,Mui Dinh ,7000,
Resorts World ,United States ,Las Vegas ,6583,30/25/15/15 
Dubrovnik Pearl Hotels ,Croatia,Dubrovnik ,5000,
Star Gold Coast ,Australia ,Gold Coast ,3000,
Baha Mar ,The Bahamas,Nassau ,2901,26 floors 
American Dream Miami ,United States ,Miami Beach ,2000,
Gaylord Rockies ,United States ,Aurora,1501,
Omni Hotels ,United States ,Boston ,1000,20
